"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test cases for TestResources_GetUserEntityInfo","0","TestResources_GetUserEntityInfo","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetUserEntityInfo","TestResources_GetUserEntityInfo"
"","40","Should display a list of the asset group members","AssetGroupMemberList","2026-08-28","passed","2026-08-28","","","",""
"","302","should display correctly","DeleteConfirmationDialog","2026-08-28","passed","2026-08-28","","","",""
"","93","should on clicking collapse all remove expandedPanelSections param from url and set isObjectInfoPanelOpen in context to false","EntityInfoHeader","2026-08-28","passed","2026-08-28","","","",""
"","215","should render","Rule Object Select","2026-08-28","passed","2026-08-28","","","",""
"Test cases for TestStore_GetRelationship","0","TestStore_GetRelationship","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/server/graphdb/internal/appdb/TestStore_GetRelationship","TestStore_GetRelationship"
"","64","sets the document title using the default app name","PageWithTitle","2026-08-28","passed","2026-08-28","","","",""
"Test cases for TestHandlers_IsEnabled","0","TestHandlers_IsEnabled","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/server/featureflags/internal/handlers/TestHandlers_IsEnabled","TestHandlers_IsEnabled"
"Test cases for TestConvertAzureVirtualMachineAvereContributorToRels","0","TestConvertAzureVirtualMachineAvereContributorToRels","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/packages/go/ein/TestConvertAzureVirtualMachineAvereContributorToRels","TestConvertAzureVirtualMachineAvereContributorToRels"
"","63","returns true when nodes are available","useGraphHasData","2026-08-28","passed","2026-08-28","","","",""
"Test cases for TestManagementResource_ListUsers","0","TestManagementResource_ListUsers","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListUsers","TestManagementResource_ListUsers"
"Test cases for TestGormLogAdapter_Info","0","TestGormLogAdapter_Info","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/TestGormLogAdapter_Info","TestGormLogAdapter_Info"
"","704","should display all available roles","CreateUserDialog","2026-08-28","passed","2026-08-28","","","",""
"","84","should display the ""User Information"" header","UserProfile","2026-08-28","passed","2026-08-28","","","",""
"","4","renders TenantInfo for a collected azure environment","getStatsComponent","2026-08-28","passed","2026-08-28","","","",""
"Test cases for TestWriteCSV","0","TestWriteCSV","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/packages/go/responses/TestWriteCSV","TestWriteCSV"
"","618","lists all available node kinds as options to filter by","AssetGroupEdit","2026-08-28","passed","2026-08-28","","Node Type dropdown filter","",""
"","4","removes multiple keys from state","useObjectState","2026-08-28","passed","2026-08-28","","","",""
"","408","toggles parent from some to all","GraphDataCheckboxes","2026-08-28","passed","2026-08-28","","","",""
"","44","stores the state of a search term without modifying the query params","useCypherSearch","2026-08-28","passed","2026-08-28","","","",""
"Test cases for TestRegister","0","TestRegister","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/server/appcfg/internal/routes/TestRegister","TestRegister"
"","263","clicking a delete button calls deleteHandler","PrebuiltSearchList","2026-08-28","passed","2026-08-28","","","",""
"Test cases for TestAddOrderByToNeo4jQuery_WithOrderByClause","0","TestAddOrderByToNeo4jQuery_WithOrderByClause","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestAddOrderByToNeo4jQuery_WithOrderByClause","TestAddOrderByToNeo4jQuery_WithOrderByClause"
"","314","On unsuccessful upload, notifies with an error and displays a retry button","SchemaUploadDialog","2026-08-28","passed","2026-08-28","","","",""
"","0","does not change the day, month, or year value of the DateTime object","floorToNearestMinute","2026-08-28","passed","2026-08-28","","","",""
"Test cases for TestResources_ListADEntityConstrainedDelegationRights","0","TestResources_ListADEntityConstrainedDelegationRights","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListADEntityConstrainedDelegationRights","TestResources_ListADEntityConstrainedDelegationRights"
"Test cases for TestService_GetDatapipeStatus","1","TestService_GetDatapipeStatus","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/server/appcfg/internal/services/TestService_GetDatapipeStatus","TestService_GetDatapipeStatus"
"Test cases for TestNormalizePath","10","TestNormalizePath","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/packages/go/storage/TestNormalizePath","TestNormalizePath"
"","129","renders with the Export and Delete buttons disabled","QuerySearchFilter","2026-08-28","passed","2026-08-28","","","",""
"","1","does not add optional filters if not present","createHistoryParams","2026-08-28","passed","2026-08-28","","","",""
"","2","returns true if value is undefined","searchParams","2026-08-28","passed","2026-08-28","","isEmptyParam","",""
"Test cases for TestResources_UpdateSavedQuery_InvalidID","0","TestResources_UpdateSavedQuery_InvalidID","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateSavedQuery_InvalidID","TestResources_UpdateSavedQuery_InvalidID"
"","428","has user filters","FileIngestFilterDialog","2026-08-28","passed","2026-08-28","","User Select","",""
"","934","sets input text on date click","ManagedDatePicker - date validation","2026-08-28","passed","2026-08-28","","","",""
"Test cases for TestResources_CreateSavedQuery_NotAUserAuth","0","TestResources_CreateSavedQuery_NotAUserAuth","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_CreateSavedQuery_NotAUserAuth","TestResources_CreateSavedQuery_NotAUserAuth"
"","91","renders the glyph form input when the editing a zone that is not the highest privileged","Tag Form","2026-08-28","passed","2026-08-28","","","",""
"","2","stores a string value in localStorage","useLocalStorage","2026-08-28","passed","2026-08-28","","setValue","",""
"","4","shows items when the user has admin permissions","useSubNavRoutes","2026-08-28","passed","2026-08-28","","adminOnly gate","",""
"Test cases for TestParseGPOData","2","TestParseGPOData","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/packages/go/ein/TestParseGPOData","TestParseGPOData"
"","57","copys children value to clipboard after clicking the copy btn","CodeController","2026-08-28","passed","2026-08-28","","","",""
"","18","returns numbers as strings","numberFormatting","2026-08-28","passed","2026-08-28","","","",""
"Test cases for TestQueries_GetEntityResults","0","TestQueries_GetEntityResults","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/cmd/api/src/queries/TestQueries_GetEntityResults","TestQueries_GetEntityResults"
"Test cases for TestHandlers_GetPermission","0","TestHandlers_GetPermission","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/server/identity/internal/handlers/TestHandlers_GetPermission","TestHandlers_GetPermission"
"","2909","The password reset dialog is opened when switching a user from SAML based authentication to username/password based authentication","Users","2026-08-28","passed","2026-08-28","","","",""
"","61","returns false on 404","useGraphHasData","2026-08-28","passed","2026-08-28","","","",""
"","60","displays the value from filterParams.node_type","AssetGroupEdit","2026-08-28","passed","2026-08-28","","Node Type dropdown filter","",""
"","8","does not request finished jobs if lacking permission","useFinishedJobs","2026-08-28","passed","2026-08-28","","","",""
"","63","returns Tag Object counts when there is a Tag selected but no Rule selected (ruleId is undefined from path params)","useObjectCounts","2026-08-28","passed","2026-08-28","","","",""
"","0","returns false if value is +0","searchParams","2026-08-28","passed","2026-08-28","","isEmptyParam","",""
"Test cases for TestCreateUser_Success","0","TestCreateUser_Success","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestCreateUser_Success","TestCreateUser_Success"
"","0","returns an empty array for a none selection","getValuesFromSelection","2026-08-28","passed","2026-08-28","","","",""
"Test cases for TestResources_ListAuditLogs_PredicateMismatchWithColumn","0","TestResources_ListAuditLogs_PredicateMismatchWithColumn","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListAuditLogs_PredicateMismatchWithColumn","TestResources_ListAuditLogs_PredicateMismatchWithColumn"
"Test cases for TestRegister_PanicsOnNilRateLimitMiddleware","0","TestRegister_PanicsOnNilRateLimitMiddleware","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/server/modules/TestRegister_PanicsOnNilRateLimitMiddleware","TestRegister_PanicsOnNilRateLimitMiddleware"
"","98","upon selecting just a source node, updates the URL with a searchType of 'node' and primarySearch of the node's objectid","usePathfindingSearch","2026-08-28","passed","2026-08-28","","","",""
"Test cases for TestResources_ListAssetGroupMembersCount","0","TestResources_ListAssetGroupMembersCount","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_ListAssetGroupMembersCount","TestResources_ListAssetGroupMembersCount"
"Test cases for TestResources_GetAssetGroupTagSelectors","0","TestResources_GetAssetGroupTagSelectors","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_GetAssetGroupTagSelectors","TestResources_GetAssetGroupTagSelectors"
"","280","displays 0 when a given sections returns empty, and sums the rest of the sections correctly","EntityInfoDataTableGraphed","2026-08-28","passed","2026-08-28","","Node count for nested table that counts all sections","",""
"Test cases for TestGetLatestQueryParameter","0","TestGetLatestQueryParameter","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestGetLatestQueryParameter","TestGetLatestQueryParameter"
"Test cases for TestResources_DeleteSavedQueryPermissions","0","TestResources_DeleteSavedQueryPermissions","","2026-08-28","passed","2026-08-28","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_DeleteSavedQueryPermissions","TestResources_DeleteSavedQueryPermissions"
"","0","returns empty arrays when kinds data has empty arrays","graphSchema","2026-08-28","passed","2026-08-28","","","",""
"","100","links to the specified route with global params intact","AppLink","2026-08-28","passed","2026-08-28","","","",""
"","51","sorts by node_kind_id as tertiary key when position and title are equal","KindInfoItems","2026-08-28","passed","2026-08-28","","","",""
