"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2028","does not show the ""Disable MFA"" context menu option for users without MFA enabled","Users","Mon Jan 12 20:53:11 UTC 2026","passed","Mon Jan 12 20:53:13 UTC 2026","","","",""
"","462","should not call onSubmit when expired password is not supplied when reset password button clicked","PasswordResetForm","Mon Jan 12 20:53:39 UTC 2026","passed","Mon Jan 12 20:53:39 UTC 2026","","","",""
"","46","calls getKey for each item (stable keys hook)","<DetailsAccordion />","Mon Jan 12 20:52:40 UTC 2026","passed","Mon Jan 12 20:52:40 UTC 2026","","","",""
"Test cases for TestResources_DeleteSavedQuery_IsPublicSavedQueryDBError","0","TestResources_DeleteSavedQuery_IsPublicSavedQueryDBError","","Mon Jan 12 20:51:04 UTC 2026","passed","Mon Jan 12 20:51:04 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_DeleteSavedQuery_IsPublicSavedQueryDBError","TestResources_DeleteSavedQuery_IsPublicSavedQueryDBError"
"Test cases for TestURLJoinPathEscapesSlashes","0","TestURLJoinPathEscapesSlashes","","Mon Jan 12 20:50:56 UTC 2026","passed","Mon Jan 12 20:50:56 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/TestURLJoinPathEscapesSlashes","TestURLJoinPathEscapesSlashes"
"Test cases for TestArgon2_Digest","2","TestArgon2_Digest","","Mon Jan 12 20:51:20 UTC 2026","passed","Mon Jan 12 20:51:20 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/crypto/TestArgon2_Digest","TestArgon2_Digest"
"","521","clears applied filters when clicking the Clear button","Privilege Zones History Filter Dialog","Mon Jan 12 20:53:32 UTC 2026","passed","Mon Jan 12 20:53:32 UTC 2026","","","",""
"","715","displays a Upload Files button","FileIngest","Mon Jan 12 20:55:09 UTC 2026","passed","Mon Jan 12 20:55:10 UTC 2026","","","",""
"","2","returns true if value is undefined","searchParams","Mon Jan 12 20:54:29 UTC 2026","passed","Mon Jan 12 20:54:29 UTC 2026","","isEmptyParam","",""
"Test cases for TestCreateUser_Success","890","TestCreateUser_Success","","Mon Jan 12 20:51:12 UTC 2026","passed","Mon Jan 12 20:51:13 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestCreateUser_Success","TestCreateUser_Success"
"","122","displays Force Password Reset checkbox when showNeedsPasswordReset is true","PasswordDialog","Mon Jan 12 20:52:13 UTC 2026","passed","Mon Jan 12 20:52:13 UTC 2026","","","",""
"","217","navigates to previous history entry when warning dialog is cancelled","EarlyAccessFeatures","Mon Jan 12 20:56:46 UTC 2026","passed","Mon Jan 12 20:56:46 UTC 2026","","","",""
"Test cases for TestManagementResource_ListAuthTokens_InvalidFilterPredicate","0","TestManagementResource_ListAuthTokens_InvalidFilterPredicate","","Mon Jan 12 20:51:31 UTC 2026","passed","Mon Jan 12 20:51:31 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListAuthTokens_InvalidFilterPredicate","TestManagementResource_ListAuthTokens_InvalidFilterPredicate"
"Test cases for TestResources_DeleteSavedQuery_PublicQueryAndUserIsAdmin","0","TestResources_DeleteSavedQuery_PublicQueryAndUserIsAdmin","","Mon Jan 12 20:51:04 UTC 2026","passed","Mon Jan 12 20:51:04 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_DeleteSavedQuery_PublicQueryAndUserIsAdmin","TestResources_DeleteSavedQuery_PublicQueryAndUserIsAdmin"
"Test cases for TestGetADDataQualityStats_Failure","0","TestGetADDataQualityStats_Failure","","Mon Jan 12 20:51:04 UTC 2026","passed","Mon Jan 12 20:51:04 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestGetADDataQualityStats_Failure","TestGetADDataQualityStats_Failure"
"Test cases for TestParseHeaderValues","0","TestParseHeaderValues","","Mon Jan 12 20:50:57 UTC 2026","passed","Mon Jan 12 20:50:57 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/middleware/TestParseHeaderValues","TestParseHeaderValues"
"Test cases for TestResources_UpdateAssetGroupSelectors_SuccessOwned","0","TestResources_UpdateAssetGroupSelectors_SuccessOwned","","Mon Jan 12 20:51:04 UTC 2026","passed","Mon Jan 12 20:51:04 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/TestResources_UpdateAssetGroupSelectors_SuccessOwned","TestResources_UpdateAssetGroupSelectors_SuccessOwned"
"","265","AZRole information panel will not display a section for PIM Assignments","EntityInfoContent","Mon Jan 12 20:54:06 UTC 2026","passed","Mon Jan 12 20:54:06 UTC 2026","","","",""
"Test cases for TestManagementResource_ListSAMLSignOnEndpoints","9","TestManagementResource_ListSAMLSignOnEndpoints","","Mon Jan 12 20:51:42 UTC 2026","passed","Mon Jan 12 20:51:42 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestManagementResource_ListSAMLSignOnEndpoints","TestManagementResource_ListSAMLSignOnEndpoints"
"","1313","should display a dropdown when a user types a partial query that can be autocompleted","CypherSearch","Mon Jan 12 20:53:58 UTC 2026","passed","Mon Jan 12 20:53:59 UTC 2026","","","",""
"","335","renders a list of pre-built searches","PrebuiltSearchList","Mon Jan 12 20:54:22 UTC 2026","passed","Mon Jan 12 20:54:22 UTC 2026","","","",""
"Test cases for TestLoginExpiry","0","TestLoginExpiry","","Mon Jan 12 20:51:42 UTC 2026","passed","Mon Jan 12 20:51:42 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/auth/TestLoginExpiry","TestLoginExpiry"
"","502","disables the delete button and all checkboxes if the user lacks permission","DatabaseManagement","Mon Jan 12 20:56:34 UTC 2026","passed","Mon Jan 12 20:56:35 UTC 2026","","","",""
"","202","displays a polite message when there are no user updatable features available","EarlyAccessFeatures","Mon Jan 12 20:56:46 UTC 2026","passed","Mon Jan 12 20:56:47 UTC 2026","","","",""
"","281","does fires TagToLabelDialog when the Label option is clicked","TagToZoneLabel","Mon Jan 12 20:52:06 UTC 2026","passed","Mon Jan 12 20:52:06 UTC 2026","","","",""
"Test cases for TestSIDSuffix_String","0","TestSIDSuffix_String","","Mon Jan 12 20:51:19 UTC 2026","passed","Mon Jan 12 20:51:19 UTC 2026","","Go Test","github.com/specterops/bloodhound/packages/go/analysis/ad/wellknown/TestSIDSuffix_String","TestSIDSuffix_String"
"Test cases for Test_GetAssetGroupMembersByTag","2","Test_GetAssetGroupMembersByTag","","Mon Jan 12 20:51:04 UTC 2026","passed","Mon Jan 12 20:51:04 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/api/v2/Test_GetAssetGroupMembersByTag","Test_GetAssetGroupMembersByTag"
"","1352","should open edge filtering dialog","EdgeFilter","Mon Jan 12 20:53:44 UTC 2026","passed","Mon Jan 12 20:53:45 UTC 2026","","","",""
"","3","Default label and sizing are used when graph of origin does not specify","copySigmaNodesToGraphlibGraph","Mon Jan 12 20:56:56 UTC 2026","passed","Mon Jan 12 20:56:56 UTC 2026","","","",""
"","57","collapses an open item when its header is clicked again","<DetailsAccordion />","Mon Jan 12 20:52:41 UTC 2026","passed","Mon Jan 12 20:52:41 UTC 2026","","","",""
"Test cases for TestInt64From","0","TestInt64From","","Mon Jan 12 20:51:09 UTC 2026","passed","Mon Jan 12 20:51:09 UTC 2026","","Go Test","github.com/specterops/bloodhound/cmd/api/src/database/types/null/TestInt64From","TestInt64From"
